Supermarket,Type of Supermarket,WeekdayMedian,SaturdayMedian,SundayMedian
Four Square BKs Torbay,Four Square,2,1,0
Four Square Botany Junction,Four Square,2,1,0
Four Square Cockle Bay,Four Square,2,0,0
Four Square Ellerslie,Four Square,2,1,0
Four Square Everglade,Four Square,2,1,0
Four Square Fair Price Henderson,Four Square,2,0,0
Four Square Glen Eden,Four Square,2,0,0
Four Square Great Eastern,Four Square,2,0,0
Four Square Hobsonville,Four Square,2,1,0
Four Square Lancaster,Four Square,2,0,0
Four Square Pakuranga Heights,Four Square,2,1,0
Fresh Collective Alberton,Fresh Collective,2,1,0
New World Albany,New World,6,2,0
New World Birkenhead,New World,6,2,0
New World Botany,New World,6,2,0
New World Browns Bay,New World,5,2,0
New World Devonport,New World,5,2,0
New World Eastridge,New World,6,2,0
New World Green Bay,New World,6,1,0
New World Howick,New World,6,2,0
New World Long Bay,New World,6,3,0
New World Metro Queen St,New World,5,2,0
New World Milford,New World,6,2,0
New World Mt Roskill,New World,5,3,0
New World New Lynn,New World,5,2,0
New World Papakura,New World,6,1,0
New World Papatoetoe,New World,6,2,0
New World Remuera,New World,6,2,0
New World Southmall,New World,6,2,0
New World Stonefields,New World,5,2,0
New World Victoria Park,New World,5,2,0
Pak 'n Save Albany,Pak 'n Save,7,4,0
Pak 'n Save Botany,Pak 'n Save,8,4,0
Pak 'n Save Clendon,Pak 'n Save,8,5,0
Pak 'n Save Glen Innes,Pak 'n Save,7,5,0
Pak 'n Save Henderson,Pak 'n Save,8,5,0
Pak 'n Save Lincoln Road,Pak 'n Save,7,4,0
Pak 'n Save Mangere,Pak 'n Save,7,4,0
Pak 'n Save Manukau,Pak 'n Save,8,5,0
Pak 'n Save Mt Albert,Pak 'n Save,7,6,0
Pak 'n Save Ormiston,Pak 'n Save,7,5,0
Pak 'n Save Papakura,Pak 'n Save,8,4,0
Pak 'n Save Royal Oak,Pak 'n Save,7,6,0
Pak 'n Save Sylvia Park,Pak 'n Save,8,4,0
Pak 'n Save Wairau Road,Pak 'n Save,7,4,0
Pak 'n Save Westgate,Pak 'n Save,8,5,0
