Supermarket,Type of Supermarket,WeekdayMedian,SaturdayMedian,SundayMedian
Four Square Ellerslie,Four Square,2,1,0
Four Square Great Eastern,Four Square,2,0,0
Fresh Collective Alberton,Fresh Collective,2,1,0
New World Eastridge,New World,6,2,0
New World Metro Queen St,New World,5,2,0
New World Mt Roskill,New World,5,3,0
New World Remuera,New World,6,2,0
New World Stonefields,New World,5,2,0
New World Victoria Park,New World,5,2,0
Pak 'n Save Glen Innes,Pak 'n Save,7,5,0
Pak 'n Save Mt Albert,Pak 'n Save,7,6,0
Pak 'n Save Royal Oak,Pak 'n Save,7,6,0
Pak 'n Save Sylvia Park,Pak 'n Save,8,4,0
