,Weekend Pallet Probabilities,,,,,,
Supermarket,0,1,2,3,4,5,6
Four Square BKs Torbay,0.5,0.5,0,0,0,0,0
Four Square Botany Junction,0.5,0.5,0,0,0,0,0
Four Square Cockle Bay,0.75,0.25,0,0,0,0,0
Four Square Ellerslie,0.5,0.5,0,0,0,0,0
Four Square Everglade,0.25,0.75,0,0,0,0,0
Four Square Fair Price Henderson,0.75,0.25,0,0,0,0,0
Four Square Glen Eden,0.75,0.25,0,0,0,0,0
Four Square Great Eastern,0.75,0.25,0,0,0,0,0
Four Square Hobsonville,0.5,0.5,0,0,0,0,0
Four Square Lancaster,0.75,0.25,0,0,0,0,0
Four Square Pakuranga Heights,0.5,0.5,0,0,0,0,0
Fresh Collective Alberton,0.25,0.75,0,0,0,0,0
New World Albany,0,0.25,0.5,0.25,0,0,0
New World Birkenhead,0,0.25,0.5,0.25,0,0,0
New World Botany,0,0.25,0.5,0.25,0,0,0
New World Browns Bay,0,0.5,0.5,0,0,0,0
New World Devonport,0,0.25,0.5,0.25,0,0,0
New World Eastridge,0,0,0.75,0.25,0,0,0
New World Green Bay,0,0.75,0,0.25,0,0,0
New World Howick,0,0.5,0.25,0.25,0,0,0
New World Long Bay,0,0.25,0,0.75,0,0,0
New World Metro Queen St,0,0.25,0.5,0.25,0,0,0
New World Milford,0,0,0.75,0.25,0,0,0
New World Mt Roskill,0,0.25,0,0.75,0,0,0
New World New Lynn,0,0.25,0.5,0.25,0,0,0
New World Papakura,0,0.75,0,0.25,0,0,0
New World Papatoetoe,0,0.25,0.5,0.25,0,0,0
New World Remuera,0,0.25,0.75,0,0,0,0
New World Southmall,0,0.25,0.5,0.25,0,0,0
New World Stonefields,0,0.25,0.75,0,0,0,0
New World Victoria Park,0,0.5,0.25,0.25,0,0,0
Pak 'n Save Albany,0,0,0,0.5,0.25,0.25,0
Pak 'n Save Botany,0,0,0,0,1,0,0
Pak 'n Save Clendon,0,0,0,0.25,0,0.5,0.25
Pak 'n Save Glen Innes,0,0,0,0.5,0,0,0.5
Pak 'n Save Henderson,0,0,0,0.5,0,0,0.5
Pak 'n Save Lincoln Road,0,0,0,0.25,0.5,0,0.25
Pak 'n Save Mangere,0,0,0,0.5,0.25,0,0.25
Pak 'n Save Manukau,0,0,0,0.25,0.25,0,0.5
Pak 'n Save Mt Albert,0,0,0,0.25,0,0.25,0.5
Pak 'n Save Ormiston,0,0,0,0,0.25,0.5,0.25
Pak 'n Save Papakura,0,0,0,0.5,0,0.25,0.25
Pak 'n Save Royal Oak,0,0,0,0.25,0,0.25,0.5
Pak 'n Save Sylvia Park,0,0,0,0.5,0,0.25,0.25
Pak 'n Save Wairau Road,0,0,0,0.25,0.5,0,0.25
Pak 'n Save Westgate,0,0,0,0.25,0.25,0.25,0.25
