Supermarket,Type of Supermarket,WeekdayMedian,SaturdayMedian,SundayMedian
Pak 'n Save Papakura,Pak 'n Save,8,4,0
Pak 'n Save Ormiston,Pak 'n Save,7,5,0
Pak 'n Save Manukau,Pak 'n Save,8,5,0
Pak 'n Save Mangere,Pak 'n Save,7,4,0
Pak 'n Save Clendon,Pak 'n Save,8,5,0
Pak 'n Save Botany,Pak 'n Save,8,4,0
New World Southmall,New World,6,2,0
New World Papatoetoe,New World,6,2,0
New World Papakura,New World,6,1,0
New World Howick,New World,6,2,0
New World Botany,New World,6,2,0
Four Square Pakuranga Heights,Four Square,2,1,0
Four Square Everglade,Four Square,2,1,0
Four Square Cockle Bay,Four Square,2,0,0
Four Square Botany Junction,Four Square,2,1,0
